2022-07-07 13:53:35.807281-> 26500,39.5,37.83,-5,0,4.05,3711,0.0,0.0,5.19,0.82,6.56,0.63,0.76,0.52,-0.65,-0.04,-0.14
2022-07-07 13:53:36.058364-> 26500,39.5,37.81,-4,0,4.062,3762,0.0,0.0,-10.16,1.62,-6.01,0.55,0.66,0.52,-0.64,-0.04,-0.15
2022-07-07 13:53:36.228870-> 26750,39.5,37.83,-7,0,4.031,3762,0.0,0.0,-9.25,1.74,-0.06,0.59,0.64,0.57,-0.64,-0.03,-0.17
2022-07-07 13:53:36.468679-> 27000,39.5,37.83,-7,0,4.051,3751,0.0,0.0,-14.07,-6.47,-2.9,0.53,0.67,0.6,-0.64,-0.03,-0.19
2022-07-07 13:53:36.669092-> 27250,39.5,37.83,-7,0,4.05,3734,0.0,0.0,-17.21,-2.78,0.03,0.57,0.55,0.65,-0.64,-0.02,-0.2
2022-07-07 13:53:36.924274-> 27500,39.5,37.83,-5,0,4.043,3750,0.0,0.0,-5.37,0.76,-0.79,0.53,0.64,0.69,-0.64,-0.01,-0.22
2022-07-07 13:53:37.053464-> 27500,39.5,37.81,-6,0,4.042,3750,0.0,0.0,-6.29,-5.86,1.16,0.52,0.55,0.68,-0.65,-0.01,-0.23
2022-07-07 13:53:37.230822-> 27750,39.5,37.85,-5,0,4.05,3751,0.0,0.0,-1.1,-1.28,-1.22,0.56,0.53,0.7,-0.65,-0.0,-0.23
2022-07-07 13:53:37.459007-> 28000,39.5,37.85,-5,0,4.044,3750,0.0,0.0,0.27,-7.9,-1.59,0.58,0.54,0.68,-0.65,-0.01,-0.22
2022-07-07 13:53:37.611930-> 28250,39.5,37.85,-7,0,4.05,3751,0.0,0.0,-1.28,-6.2,-3.27,0.57,0.52,0.69,-0.65,-0.01,-0.23
2022-07-07 13:53:37.870350-> 28500,39.5,37.83,-5,0,4.05,3760,0.0,0.0,0.98,-4.67,-1.37,0.59,0.51,0.69,-0.65,-0.0,-0.23
2022-07-07 13:53:38.017944-> 28500,39.5,37.83,-5,0,4.0,3682,0.0,0.0,0.37,-3.57,-1.83,0.56,0.48,0.67,-0.65,-0.0,-0.23
2022-07-07 13:53:38.245509-> 28750,39.5,37.85,-7,0,4.024,3731,0.0,0.0,2.38,-6.93,-3.02,0.73,0.38,0.67,-0.65,-0.01,-0.22
2022-07-07 13:53:38.479965-> 29000,39.5,37.85,-7,0,4.053,3747,0.0,0.0,8.39,27.25,-8.58,0.47,0.58,0.68,-0.64,-0.02,-0.23
2022-07-07 13:53:38.639858-> 29250,39.5,37.83,-7,1,4.038,3726,0.0,0.0,-0.67,1.34,0.52,0.53,0.57,0.69,-0.63,-0.01,-0.23
2022-07-07 13:53:38.798174-> 29500,39.5,37.83,-5,0,4.053,3713,0.0,0.0,3.27,7.02,5.92,0.47,0.51,0.72,-0.63,-0.01,-0.23
2022-07-07 13:53:39.069638-> 29500,39.5,37.83,-7,0,4.026,3702,0.0,0.0,0.89,-4.58,1.28,0.48,0.56,0.71,-0.64,-0.02,-0.23
2022-07-07 13:53:39.201376-> 29750,39.5,37.85,-9,1,4.022,3654,0.0,0.0,6.71,-0.24,3.36,0.48,0.6,0.69,-0.63,-0.01,-0.21
2022-07-07 13:53:39.421369-> 30000,39.5,37.86,-5,0,4.045,3663,0.0,0.0,9.43,2.81,-0.79,0.57,0.58,0.7,-0.63,-0.02,-0.21
2022-07-07 13:53:39.680890-> 30250,39.5,37.86,-7,0,4.046,3654,0.0,0.0,1.28,13.79,-8.51,0.38,0.61,0.71,-0.62,-0.03,-0.21
2022-07-07 13:53:39.791344-> 30500,39.5,37.83,-7,0,4.021,3664,0.0,0.0,4.06,-2.56,-1.74,0.43,0.61,0.7,-0.62,-0.03,-0.21
2022-07-07 13:53:40.044312-> 30500,39.5,37.86,-5,0,4.053,3687,0.0,0.0,4.39,-3.97,-3.85,0.48,0.6,0.69,-0.61,-0.03,-0.21
2022-07-07 13:53:40.194597-> 30750,39.5,37.85,-5,0,4.055,3742,0.0,0.0,2.01,-1.31,-2.96,0.41,0.67,0.68,-0.61,-0.03,-0.21
2022-07-07 13:53:40.447691-> 31000,39.5,37.85,-5,0,4.036,3698,0.0,0.0,0.76,-2.81,-2.41,0.41,0.69,0.69,-0.61,-0.03,-0.2
2022-07-07 13:53:40.594874-> 31250,39.5,37.83,-7,0,4.021,3682,0.0,0.0,-1.1,-5.19,0.55,0.5,0.61,0.7,-0.61,-0.03,-0.21
2022-07-07 13:53:40.856675-> 31500,39.5,37.85,-5,0,4.041,3678,0.0,0.0,-0.73,-4.67,1.77,0.49,0.67,0.7,-0.62,-0.03,-0.22
2022-07-07 13:53:40.965240-> 31500,39.5,37.85,-5,0,4.047,3664,0.0,0.0,-16.45,-14.43,1.04,0.46,0.56,0.7,-0.63,-0.02,-0.23
2022-07-07 13:53:41.189825-> 31750,39.5,37.83,-7,0,4.039,3654,0.0,0.0,-8.21,-13.31,0.49,0.56,0.53,0.7,-0.64,-0.01,-0.23
2022-07-07 13:53:41.403317-> 32000,39.5,37.85,-7,0,4.05,3654,0.0,0.0,0.03,-2.81,-1.46,0.51,0.53,0.71,-0.64,-0.01,-0.23
2022-07-07 13:53:41.811466-> 32250,39.5,37.85,-7,0,4.044,3651,0.0,0.0,-3.08,-8.06,1.07,0.53,0.5,0.7,-0.64,-0.0,-0.22
2022-07-07 13:53:41.930778-> 32500,39.5,37.83,-5,0,4.012,3648,0.0,0.0,-4.7,-14.28,3.78,0.55,0.53,0.68,-0.65,-0.0,-0.22
2022-07-07 13:53:42.013854-> 32500,39.5,37.86,-7,0,4.042,3702,0.0,0.0,-9.12,-9.86,-3.39,0.71,0.43,0.67,-0.67,0.01,-0.22
2022-07-07 13:53:42.339876-> 32750,39.5,37.83,-5,0,4.059,3687,0.0,0.0,5.04,7.81,-0.76,0.57,0.48,0.68,-0.66,-0.01,-0.24
2022-07-07 13:53:42.442250-> 33000,39.5,37.85,-5,0,4.053,3715,0.0,0.0,0.92,-2.41,0.61,0.65,0.43,0.68,-0.66,-0.0,-0.23
2022-07-07 13:53:42.666622-> 33250,39.5,37.83,-5,1,4.019,3702,0.0,0.0,4.12,-1.25,0.21,0.55,0.52,0.7,-0.66,-0.0,-0.23
2022-07-07 13:53:42.804119-> 33500,39.5,37.85,-7,1,4.052,3703,0.0,0.0,-4.46,-13.82,-0.73,0.59,0.49,0.67,-0.68,-0.0,-0.23
2022-07-07 13:53:42.961033-> 33500,39.5,37.86,-7,1,4.043,3702,0.0,0.0,-9.03,-9.67,1.34,0.75,0.41,0.69,-0.67,0.01,-0.23
